"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"2",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"3",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"4",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"5",-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-1
"6",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"7",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"8",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"9",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"10",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"11",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"12",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"13",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"14",0,2,2,0,-1,-1,-3,-1,1,-1,0,3,1,2,1
"15",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"16",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"17",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"18",-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3
"19",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"20",-3,-3,-2,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"21",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"22",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"23",-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3
"24",-3,-3,-2,-3,-3,-2,-3,-3,-2,-3,-2,-3,-3,-3,-3
"25",-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3
"26",-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3
"27",-3,-3,-3,-3,-3,-3,-3,-2,-3,-2,-3,-2,-2,-2,-2
"28",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"29",-1,-2,-1,-3,-3,-2,-3,-2,0,-2,-3,0,-3,-3,-2
"30",-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,3,-3,-3,0
"31",-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3
"32",-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3
"33",2,-1,-1,3,-1,2,2,1,2,-1,1,3,-2,2,2
"34",-3,-3,-3,-3,-3,2,0,-2,-3,-3,-3,-3,-3,0,1
