"","V1","V2","V3","V4","V5"
"1",-3,-3,-3,-3,-3
"2",-3,-3,-3,-3,-3
"3",-3,-3,-3,-3,-3
"4",-3,-3,-3,-3,-3
"5",-3,-3,-3,-3,-3
"6",-3,-3,-3,-3,-3
"7",-3,-3,-3,-3,-3
"8",-3,-3,-3,-3,-3
"9",-3,-3,-3,-3,-3
"10",-3,-3,-3,-3,-3
"11",-3,-3,-3,-3,-3
"12",-3,-3,-3,-3,-3
"13",-3,-3,-3,-3,-3
"14",0,2,-1,1,-1
"15",-3,-3,-3,-3,-3
"16",-3,-3,-3,-3,-3
"17",-3,-3,-3,-3,-3
"18",-3,-3,-3,-3,-3
"19",-3,-3,-3,-3,-3
"20",-3,-3,-3,-3,-3
"21",-3,-3,-3,-3,-3
"22",-3,-3,-3,-3,-3
"23",-3,-3,-3,-3,-3
"24",-3,-3,-3,-3,-3
"25",-3,-3,-3,-3,-3
"26",-3,-3,-3,-3,-3
"27",-3,-3,-3,-2,-2
"28",-3,-3,-3,-3,-3
"29",-1,-2,-3,-3,-2
"30",-3,-3,-3,-3,-3
"31",-3,-3,-3,-3,-3
"32",-3,-3,-3,-3,-3
"33",2,-1,-1,-2,-1
"34",-3,-3,-3,-3,-3
"35",-3,-3,-3,-3,-3
"36",-3,-3,-3,-3,-3
"37",-3,-3,-3,-3,-3
"38",-3,-3,-3,-3,-3
"39",-3,-3,-3,-3,-3
"40",-3,-3,-3,-3,-3
"41",-3,-3,-3,-3,-3
"42",-3,-3,-3,-3,-3
"43",-3,-3,-3,-3,-3
"44",-3,-3,-3,-3,-3
"45",-3,-3,-3,-3,-3
"46",-3,-3,-3,-3,-3
"47",-3,-3,-3,-3,-3
"48",-3,-3,-3,-3,-3
"49",-2,0,0,0,-1
"50",-3,-3,-3,-3,-3
"51",2,1,1,1,1
"52",-3,-3,-3,-3,-3
"53",-3,-3,-3,-3,-3
"54",-3,-3,-3,-3,-3
"55",2,2,1,2,2
"56",-3,-3,-3,-3,-3
"57",-3,-3,-3,-3,-3
"58",-3,-3,-3,-2,-3
"59",-3,-3,-3,-3,-3
"60",-3,-3,-3,-3,-3
"61",-2,-3,-3,-3,-3
"62",-3,-3,-3,-3,-3
"63",-3,-3,-3,-3,-3
"64",2,1,-1,1,1
"65",-3,-3,-3,-3,-3
"66",-3,-3,-3,-3,-3
"67",-3,-3,-3,-3,-3
"68",-3,-3,-3,-3,-3
"69",-3,-3,-3,-3,-3
"70",-3,-3,-3,-3,-3
"71",-3,-3,-3,-3,-3
"72",-1,-2,-1,-2,-1
"73",-3,-3,-3,-3,-3
"74",-3,-3,-3,-3,-3
"75",-3,-3,-3,-3,-3
"76",-3,-3,-3,-3,-3
"77",-3,-3,-3,0,-3
"78",-3,-3,-3,-3,-3
"79",-2,-1,0,1,1
"80",-3,-3,-3,-3,-3
"81",-3,-3,-2,-3,-3
"82",-3,-3,-3,-3,-3
"83",-3,-3,-3,-3,-3
"84",-3,-3,-3,-3,-3
"85",-3,-3,-3,-3,-3
"86",2,-1,-2,-3,-1
"87",-1,-3,-3,-3,-3
"88",-1,-1,-3,-3,-1
"89",-2,-3,-3,-3,-3
"90",3,-2,-3,-2,0
"91",-3,-3,-3,-3,-3
"92",-1,-3,-3,-3,-3
