"","V1","V2","V3"
"1",-3,-3,-3
"2",-3,-3,-3
"3",-3,-3,-3
"4",-3,-3,-3
"5",-3,-3,-3
"6",-3,-3,-3
"7",-3,-3,-3
"8",-3,-3,-3
"9",-3,-3,-3
"10",-3,-3,-3
"11",-3,-3,-3
"12",-3,-3,-3
"13",-3,-3,-3
"14",-3,1,-1
"15",-3,-3,-3
"16",-3,-3,-3
"17",-3,-3,-3
"18",-3,-3,-3
"19",-3,-3,-3
"20",-3,-3,-3
"21",-3,-3,-3
"22",-3,-3,-3
"23",-3,-3,-3
"24",-3,-3,-2
"25",-3,-3,-3
"26",-3,-3,-3
"27",-2,-3,-2
"28",-3,-3,-3
"29",1,-1,-2
"30",-3,-3,-3
"31",-3,-3,-3
"32",-3,-3,-3
"33",0,-1,1
"34",-2,-2,0
"35",-3,-3,-3
"36",-3,-3,-3
"37",-3,-3,-3
"38",-3,-3,-3
"39",-3,-3,-3
"40",-3,1,-2
"41",-3,-1,-3
"42",-3,-3,-3
"43",-3,-3,-3
"44",-3,-3,-3
"45",-3,-3,0
"46",-3,-3,-3
"47",-3,-2,-3
"48",-3,-1,-3
"49",0,0,0
"50",-3,-3,-3
"51",1,0,1
"52",-3,0,0
"53",-3,0,-1
"54",-3,-1,-3
"55",2,2,1
"56",-3,-3,-3
"57",-3,-3,-3
"58",-3,-3,-3
"59",-3,-3,-3
"60",-3,-3,-3
"61",-2,-3,1
"62",-3,-3,-3
"63",-3,-3,-3
"64",0,0,2
"65",-3,-3,-3
"66",-3,-3,-3
"67",-3,-3,-3
"68",3,-3,3
"69",-3,-3,0
"70",-3,3,-2
"71",-3,-3,-3
"72",1,1,2
"73",-3,-3,-3
"74",-3,-3,-3
"75",-3,-3,-3
"76",-3,-3,-3
"77",-3,0,0
"78",-3,-3,-3
"79",-2,1,2
"80",-3,-2,-3
"81",-3,-1,-1
"82",-3,-3,-3
"83",-3,-2,-3
"84",-3,-2,-3
"85",-3,-3,-3
"86",-2,-3,-1
"87",-3,-3,-3
"88",-2,-3,-2
"89",-3,-3,-3
"90",-3,-3,-3
"91",-3,-3,-3
"92",-3,-3,-3
"93",-3,-3,-3
"94",-3,-3,-3
"95",-3,-3,-3
"96",-3,-2,0
"97",-3,-3,-3
"98",-3,-3,0
"99",-3,-3,-3
"100",-2,-2,0
"101",-3,-3,-3
"102",-3,-3,-3
"103",-3,-3,-3
"104",-3,-3,-2
"105",1,2,-1
"106",-3,-3,-3
"107",1,0,-1
"108",-3,-3,-2
"109",-3,-1,-2
"110",-1,1,-1
"111",-3,-3,1
"112",-3,-3,-3
"113",-3,-2,-3
"114",-2,-2,-2
"115",-3,-3,-2
"116",-2,-1,-3
"117",-3,-3,-3
"118",-2,-3,-3
"119",-2,-2,-2
"120",-3,-1,-1
"121",-3,-3,-3
"122",-3,-3,-3
"123",-3,-3,-3
"124",-3,-1,-3
"125",-2,0,0
"126",-3,-3,-3
"127",-3,-1,-2
"128",-3,-3,-3
"129",0,1,0
"130",3,0,-3
"131",-3,-2,-1
"132",-3,-3,-3
"133",-3,-1,-2
"134",-3,3,-3
"135",-2,-3,-1
"136",-2,-2,-2
"137",-3,-3,-2
"138",-2,-2,-3
"139",-3,-3,3
"140",-3,-2,-2
"141",-3,-2,-3
"142",-3,-3,-2
"143",-3,-3,-3
"144",-2,-1,1
"145",-3,0,0
"146",-2,-1,-1
"147",-2,-2,-1
"148",-3,-3,-3
"149",-3,-2,-2
"150",-1,-1,-1
"151",-3,-3,-3
"152",0,3,0
"153",-1,-2,0
"154",-3,0,-3
"155",-1,-2,0
"156",-3,-1,-2
"157",-3,1,3
"158",-2,-3,-2
"159",-3,-3,-3
"160",0,0,0
"161",-3,-3,-3
"162",-3,-2,0
"163",-3,-3,0
"164",-3,-3,-3
"165",-3,-3,-1
"166",-3,-3,-3
"167",3,3,3
"168",-3,-3,-2
"169",-3,-3,-3
"170",-3,-1,1
"171",0,-1,0
"172",-3,-2,-3
"173",-2,-1,1
"174",-3,0,-2
"175",-3,0,0
"176",-3,-2,-2
"177",-2,-2,-1
"178",-1,-1,0
"179",-3,-3,-3
"180",-2,-1,-1
"181",-1,-1,-1
"182",-3,-2,-2
"183",-3,-3,-3
"184",-3,-3,-3
"185",-1,-1,-1
"186",-3,-3,-3
"187",-3,-2,2
"188",0,1,-1
"189",-3,-3,-3
"190",0,1,0
"191",-1,-2,-2
"192",-1,-1,2
"193",0,1,2
"194",0,0,2
"195",-1,0,0
"196",-3,-3,2
"197",-3,-3,-3
"198",-1,-2,1
"199",-1,-3,-2
"200",-2,-1,0
"201",-2,-3,1
"202",-3,-3,-2
"203",-3,-2,-1
"204",-3,-3,2
"205",-2,1,-2
"206",-3,-1,-1
"207",-1,-1,-1
"208",-3,-2,-2
"209",-3,-3,-3
"210",0,-1,1
"211",-3,-2,-2
"212",-3,-3,-3
"213",-3,-1,-3
"214",-3,2,-3
"215",-3,1,-2
"216",3,-3,3
"217",-1,2,0
"218",-3,-1,-1
"219",0,-3,0
"220",-2,-1,1
