"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,1,-3,3,3,3
"2",2,1,-1,1,1,-1,1,0,1,3,0,2,2,2,3,3
"3",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,0,3,0
"4",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"5",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,3,3
"6",-3,-3,-3,-3,-3,-3,-3,3,-3,2,-3,3,3,3,3,3
"7",-3,-3,-3,-3,-3,-3,-3,-3,2,2,-3,1,0,2,3,3
"8",-3,-3,-3,-3,-3,-3,-3,-3,-3,0,3,2,-2,3,3,3
"9",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,0,3,2
"10",-1,-2,-1,-2,-2,-1,-1,1,2,2,1,2,2,2,2,2
"11",-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,2,-3,1,2,2
"12",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,0,0
"13",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,3,3,1
"14",-3,-3,-3,-3,-3,-3,-3,-3,-2,3,-3,0,-3,2,3,3
"15",-3,-3,-3,-3,0,-3,-3,-3,-3,0,0,2,0,3,2,2
"16",-3,-3,-3,-3,-3,-3,-3,-3,-3,3,-3,3,-3,3,3,3
"17",-2,-1,0,1,1,-1,1,-2,2,1,1,3,2,2,3,3
"18",-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-2,-3,-3,2,2,2
"19",-3,-3,-2,-3,-3,-3,-3,-3,-2,1,-1,0,-1,1,2,3
"20",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-2,-1,-1
"21",-3,-3,-3,-3,-3,-3,-3,-3,3,-1,-2,-3,-3,2,3,2
"22",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,0,-3,3,3,3
"23",3,3,3,3,2,3,2,1,2,1,1,1,1,2,3,3
"24",3,3,3,3,3,3,3,3,3,2,1,2,0,2,3,3
"25",3,3,3,3,3,3,3,1,3,2,1,3,1,3,3,3
"26",3,3,3,3,3,3,3,2,3,2,2,3,2,1,2,1
"27",3,3,3,3,1,1,1,2,1,1,1,3,-1,2,3,3
"28",3,-2,2,3,-1,2,1,1,-1,-1,1,3,-2,2,3,3
"29",3,3,3,3,2,-2,1,-1,0,-1,1,1,-1,2,3,2
"30",3,3,3,3,2,1,0,-1,0,-1,0,-1,-1,1,2,-1
"31",0,2,1,2,1,0,2,-2,2,-2,0,-1,-1,-1,0,1
"32",2,3,2,1,1,2,1,0,2,2,1,0,-1,2,3,2
"33",3,3,2,2,1,2,1,-1,3,-1,0,-1,-2,3,2,1
"34",3,3,3,3,3,3,3,2,3,0,0,1,-1,2,3,3
"35",2,2,2,2,2,0,2,1,1,0,-1,0,0,0,2,2
"36",3,2,2,3,2,3,0,-1,0,1,-2,1,0,1,0,0
"37",3,3,3,3,2,3,3,2,3,1,1,0,-1,3,3,2
"38",3,3,2,3,2,3,1,0,0,0,0,0,-1,1,1,1
"39",2,2,1,2,1,1,1,1,0,0,0,0,0,1,1,1
"40",2,0,1,2,2,0,1,1,3,2,2,2,-1,0,2,1
"41",3,3,3,3,3,3,3,2,3,2,2,3,-2,3,3,2
"42",3,3,3,3,2,2,2,1,2,0,0,0,0,2,3,2
"43",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"44",3,2,2,2,2,2,1,2,3,2,2,2,2,3,2,2
"45",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"46",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"47",2,3,2,3,3,2,3,2,2,2,2,3,2,2,2,3
"48",3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
"49",2,2,1,2,2,2,3,2,2,1,1,2,0,2,-1,1
"50",3,3,3,2,3,2,3,3,3,2,1,2,2,2,2,2
"51",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"52",2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
"53",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"54",3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2
"55",3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3
"56",3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
"57",2,2,3,2,1,1,3,2,2,1,2,2,1,2,2,2
"58",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"59",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"60",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"61",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"62",3,3,3,2,3,3,3,2,3,1,1,2,2,2,3,0
"63",3,3,3,2,1,2,2,2,2,2,0,0,2,2,2,2
