"","comparison","n","mc"
"1","dweckRC2_malleRC2",10,"V21"
"2","dweckRC2_malleRC2",10,"V19"
"3","dweckRC2_malleRC2",10,"V20"
"4","dweckRC2_malleRC2",10,"V18"
"5","dweckRC2_malleRC2",10,"V17"
"6","dweckRC2_malleRC2",10,"V16"
"7","dweckRC2_malleRC2",10,"V15"
"8","dweckRC2_malleRC2",10,"V14"
"9","dweckRC2_malleRC2",10,"V13"
"10","dweckRC2_malleRC2",10,"V12"
"11","dweckRC1_malleRC1",9,"V40"
"12","dweckRC1_malleRC1",9,"V39"
"13","dweckRC1_malleRC1",9,"V38"
"14","dweckRC1_malleRC1",9,"V37"
"15","dweckRC1_malleRC1",9,"V36"
"16","dweckRC1_malleRC1",9,"V33"
"17","dweckRC1_malleRC1",9,"V34"
"18","dweckRC1_malleRC1",9,"V32"
"19","dweckRC1_malleRC1",9,"V31"
"20","dweckRC3_malleRC3",9,"V9"
"21","dweckRC3_malleRC3",9,"V8"
"22","dweckRC3_malleRC3",9,"V7"
"23","dweckRC3_malleRC3",9,"V6"
"24","dweckRC3_malleRC3",9,"V5"
"25","dweckRC3_malleRC3",9,"V3"
"26","dweckRC3_malleRC3",9,"V4"
"27","dweckRC3_malleRC3",9,"V1"
"28","dweckRC3_malleRC3",9,"V23"
