"","RC1","RC3","RC2"
"V1",0.789854592726299,0.405632707231856,-0.254405851704587
"V2",0.84578736830222,0.352839335581799,-0.200409987088273
"V3",0.881575343937066,0.347117319616805,-0.0895216019448001
"V4",0.82152129615453,0.423460711547323,-0.145610498795028
"V5",0.835612915670835,0.427005494886533,0.0243674393473713
"V6",-0.0687261346658338,0.144982016459307,0.953699310621362
"V7",0.505261103078948,0.754061253118253,-0.00235996010180608
"V8",0.609956355560533,0.612242631055274,-0.0366847285265707
"V9",0.746551870735919,0.49082727554716,-0.0325501866336425
"V10",0.72049986669613,0.525273163094603,0.0656045263639399
"V11",0.831936645181178,0.285616364212485,0.129903213218902
"V12",0.779747269280851,0.454144535184411,0.0102825976345982
"V13",0.783827457709719,0.377269647496914,0.151375450495531
"V14",0.464910755892013,0.740347421783891,0.10467214386818
"V15",0.322035877475746,0.813997378375581,0.226187269239201
