"","RC1","RC2","RC3"
"V1",0.216010733924325,0.407274596120669,0.616899363698825
"V2",0.431781521282859,0.370689033914266,0.606849755022988
"V3",0.376374135044066,0.36169221579307,0.686778474479794
"V4",0.566534448859864,0.118893697310754,0.679717280210579
"V5",0.280178188187927,0.30902651344282,0.715058047979114
"V6",0.253679962692878,0.402510709548706,0.729203581791284
"V7",0.347606291567496,0.283030292979391,0.733100349274852
"V8",0.407084861365223,0.0366456059052969,0.746693694321251
"V9",0.452791671354706,0.0619464304800446,0.761162152175728
"V10",-0.460489834543192,0.537182235495157,0.44898285612865
"V11",0.383430861154083,0.611842215083883,0.354642878232734
"V12",0.525496971390299,0.627924662199561,0.219768464271332
"V13",0.160226482151933,0.674578096473672,0.496921194476682
"V14",0.232934574605272,0.722404430364797,0.383273181956778
"V15",0.323565850727846,0.733821255892043,0.292920831167617
"V16",0.437093456724206,0.748549300981076,0.19533017637473
"V17",0.297032943821185,0.800354372993875,0.171793039724424
"V18",0.168070205214896,0.824557230609863,0.243428459804706
"V19",0.285461689644874,0.837581923066738,0.0864312937168685
"V20",0.311169793669628,0.835093386458494,0.127154235595368
"V21",0.185003518297327,0.848892063324814,0.130506589330329
"V22",0.495667718755567,0.473812324038413,0.448221817067071
"V23",0.593011504413526,0.205807257964061,0.586489084762119
"V24",0.608116846219011,0.418011188314449,0.379029104290183
"V25",0.61614366477067,0.493278156639856,0.32869024860873
"V26",0.651953298721575,0.523811455462107,0.327542929773177
"V27",0.666046188373965,0.349898589354641,0.37323560540894
"V28",0.660266742472865,0.566430856540304,0.175503209304805
"V29",0.686914661644425,0.459463364043234,0.300343882732194
"V30",0.700194878197469,0.430543232554513,0.338271930356884
"V31",0.713871008612902,0.395253342738275,0.255786949147122
"V32",0.723455720857791,0.509366581439913,0.245859437651206
"V33",0.749478984393799,0.319052014703135,0.355306344134261
"V34",0.746719323405096,0.479941481301358,0.227911286543079
"V35",0.761520636566487,0.345936719245036,0.317251857938831
"V36",0.794974439099767,0.348614061979749,0.349706611122793
"V37",0.832696872135913,0.196931640821405,0.36386687878235
"V38",0.848373882938008,0.105645988175578,0.326835513618087
"V39",0.850389052094802,0.204521377865999,0.351933108143989
"V40",0.864483542240215,0.142325087629247,0.320255340312667
