"","RC1","RC2","RC3"
"V1",0.81637811571145,0.0922420502563694,0.417369398151251
"V2",0.837269874010939,0.115678141437955,0.411610647933589
"V3",0.799730453170505,0.347976338244934,0.352284567474559
"V4",0.748810840853705,0.490293260830778,0.232081086889189
"V5",0.727140002487926,0.443295068906489,0.271453553008902
"V6",0.721234471042908,0.523144478031622,0.140102267708662
"V7",0.706681139097569,0.451679799922999,0.3178228566166
"V8",0.251042702831052,0.8458479620154,-0.00475287044212782
"V9",0.471765810328175,0.54769152661852,0.415559204103396
"V10",0.145281018270396,0.803187577411361,0.370787773706325
"V11",0.362022267592489,0.744305812401761,0.207686074135607
"V12",0.313864593175971,0.488054861134592,0.656236435221205
"V13",0.241418665269195,0.78300209708048,0.276340356938953
"V14",0.267733169053093,0.404587323834021,0.730291852259753
"V15",0.385376826163114,0.134440904140584,0.814176237898804
"V16",0.309464650932903,0.117135842189303,0.828848914419525
