"","RC1","RC2","RC3"
"V5",-0.112732669147617,0.225272525289642,-0.0987628028994616
"V6",-0.0968041726176733,0.221382434967999,-0.209516704546276
"V7",-0.168375465331888,0.516664839456353,-0.504034645319743
"V8",-0.419445750442358,0.834725455711039,-0.489565954148569
"V9",-0.449474508556514,0.837307257518515,-0.777692175519093
"V10",0.158182136941484,-0.254552923204821,0.326471425495355
"V11",0.400972326330331,-0.413619115929873,0.0730271186976478
"V12",0.346818071400814,-0.44322342612342,0.113342978793554
"V13",0.305308094008981,-0.233019941982703,0.0832244546694144
"V14",0.373671467371908,-0.518314446384028,0.279938006229486
"V15",0.428401191669409,-0.517201216930197,0.0680493086122776
"V16",0.483172646597573,-0.61583077657965,0.0500497617921523
"V17",0.535233469363421,-0.604109813170432,0.179357486860414
"V18",0.527666851756194,-0.571723278681108,0.216561564365815
"V19",0.654826172875955,-0.711307556155386,0.11522045545616
"V20",0.583183617958858,-0.669567547355234,0.191525710034981
"V21",0.635814358553789,-0.641212152439006,0.270363405420296
"V22",0.311949035285159,-0.298454869748919,-0.226332535226251
"V23",-0.184529963195371,0.389548533003899,-0.351734177885644
"V24",0.248230648687852,-0.241349665102051,-0.0469201462158623
"V25",0.253694845376372,-0.287535963314419,-0.115978685011024
"V26",0.226154302275775,-0.325407474225003,-0.22259426224562
"V27",0.197069488001106,-0.126690935268222,-0.112383525919242
"V28",0.275213551580361,-0.432089353435268,-0.0243309362953273
"V29",0.249523758250421,-0.349275669979864,-0.103045385181547
"V30",0.225957000226256,-0.301430379212911,-0.120387319416266
"V31",0.231751893760417,-0.268273568064423,-0.227484689637895
"V32",0.231621341548445,-0.391831094449101,-0.173539659714911
"V33",0.182046889901543,-0.148678091318145,-0.258043319236407
"V34",0.220433279566384,-0.36591514861806,-0.152947098819252
"V35",0.166015123747158,-0.182891750173635,-0.162957532479847
"V36",0.158562722927914,-0.203048622010141,-0.25880366665444
"V37",0.112488944733925,-0.0773596032340152,-0.33991840085592
"V38",0.101186986450043,0.0224450630002771,-0.255860046956978
"V39",0.0902824490799174,-0.0790537962900237,-0.244833360640326
"V40",0.0897225838107928,-0.0398516910624007,-0.25715558743086
