"","RC1","RC2","RC3"
"V5",0.324983609263579,0.317625189828095,0.707763902129044
"V6",0.301222341089634,0.414813465436767,0.706590474739657
"V7",0.398854974153826,0.294850731264416,0.694972318910072
"V8",0.449878000560339,0.0472153159150974,0.736985108411844
"V9",0.493619650947512,0.0772516788881281,0.742438763383483
"V10",-0.435698070343657,0.549771490822625,0.483148604325022
"V11",0.411282773076019,0.614913503266929,0.314939575643527
"V12",0.539018678330313,0.629051881659638,0.177785578776632
"V13",0.201108402932155,0.679889814247606,0.465777225054434
"V14",0.264805852539585,0.726323740502422,0.347510542392255
"V15",0.340254160965982,0.73905736718848,0.265585364163616
"V16",0.451304542046269,0.749741043861558,0.15469696368752
"V17",0.308546145550067,0.803748607187923,0.137838969825627
"V18",0.182913161158331,0.830659564210467,0.221080249523377
"V19",0.290647118030629,0.840107161442505,0.0526836229742818
"V20",0.31882679389911,0.839683038160708,0.0879206662566401
"V21",0.195033536984391,0.848961931391824,0.110222934446314
"V22",0.534430267087924,0.476149998532578,0.394446777934412
"V23",0.628378502933437,0.214639685904378,0.548117655099495
"V24",0.637199477275057,0.420048616572038,0.328741474210797
"V25",0.642905080647651,0.492966057927153,0.274737778452203
"V26",0.672070602250264,0.525280272432343,0.280735176960251
"V27",0.692638534001639,0.35001314797905,0.326286634243142
"V28",0.670437895841158,0.566151472101825,0.124428733787016
"V29",0.705635573428968,0.465893211477147,0.236736370534255
"V30",0.726281360949519,0.43142187219654,0.279755547734668
"V31",0.726717180399566,0.395392512010887,0.213034743819265
"V32",0.740626394879654,0.511592463864115,0.180094227162701
"V33",0.776244683092708,0.318491008853864,0.298289340924782
"V34",0.761263905820527,0.481348577589614,0.165548319852554
"V35",0.78081339694352,0.347289551899313,0.265925416222327
"V36",0.817543064974818,0.352947552675704,0.285103650893553
"V37",0.855688060740815,0.198655015115068,0.307567525102582
"V38",0.868389763897096,0.108434474955742,0.267854972013971
"V39",0.870712948910621,0.208060024953607,0.293018996469638
"V40",0.881079267732016,0.144400701157122,0.268180800389719
