"","lhs","op","rhs","exo","est","se","z","pvalue","std.lv","std.all","std.nox"
"1","RC1","=~","V24",0,1.82942208834302,0.0899293993558113,20.3428700897333,0,1.82942208834302,0.807112043766048,0.807112043766048
"2","RC1","=~","V25",0,1.91288604242317,0.0894067011789847,21.3953318621357,0,1.91288604242317,0.834360255895058,0.834360255895058
"3","RC1","=~","V26",0,2.06962207821227,0.0887057816134706,23.3313098714411,0,2.06962207821227,0.880910558359962,0.880910558359962
"4","RC1","=~","V27",0,1.99437741092785,0.0944815629000901,21.1086411963444,0,1.99437741092785,0.827077068013565,0.827077068013565
"5","RC1","=~","V28",0,1.95771518381777,0.0891970712913794,21.9482002657073,0,1.95771518381777,0.848116661181135,0.848116661181135
"6","RC1","=~","V29",0,2.10966214411708,0.0926573514504608,22.7684270173102,0,2.10966214411708,0.867838883824282,0.867838883824282
"7","RC1","=~","V30",0,2.1048353542969,0.0900953835018245,23.3622997370811,0,2.1048353542969,0.881619496557526,0.881619496557526
"8","RC1","=~","V31",0,2.06287673798203,0.0943329880059647,21.8680313386404,0,2.06287673798203,0.846145272550854,0.846145272550854
"9","RC1","=~","V32",0,2.21108603211604,0.0901980243011876,24.5136858511759,0,2.21108603211604,0.907184762773599,0.907184762773599
"10","RC1","=~","V33",0,2.08679400529415,0.089158725512982,23.4053817311498,0,2.08679400529415,0.882603215538919,0.882603215538919
"11","RC1","=~","V34",0,2.20654228923468,0.0894580911429084,24.6656536154986,0,2.20654228923468,0.910448568724668,0.910448568724668
"12","RC1","=~","V35",0,2.0955099924115,0.0877372998691499,23.8839124925968,0,2.0955099924115,0.893386692881872,0.893386692881872
"13","RC1","=~","V36",0,2.30646362553384,0.0890327532615871,25.9057879380324,0,2.30646362553384,0.936157267757549,0.936157267757549
"14","RC1","=~","V37",0,2.22498030825567,0.0926578591299054,24.0128611771212,0,2.22498030825567,0.896247996398399,0.896247996398399
