"","RC1","RC2","RC3"
"V5",0.563730422172808,-0.244091050669419,-0.524093191651646
"V6",0.696424839366154,-0.291228654324154,-0.600279492677166
"V7",0.538153666401235,-0.252572557948007,-0.493910888155679
"V8",0.788733010001595,-0.673369294428842,0.112369429494978
"V9",0.421035042751591,-0.331421941152462,-0.284658030250446
"V10",0.0715901158129217,-0.458403320140359,0.533042282870908
"V11",0.528019855866904,-0.437783697948431,-0.0979539400638659
"V12",-0.339443819052698,-0.0800818788408344,0.469284464755139
"V13",0.29650618034092,-0.650929514390335,0.427793291535883
"V14",-0.526330399836001,0.455450184045409,0.0357509455557347
"V15",-0.777046332165561,0.829197364963193,-0.273237960906904
"V16",-0.823744380284496,0.754582134534602,0.0993468971160267
