"","RC1","RC2","RC3"
"V5",0.929782758861097,0.0637777828023824,0.256558327283973
"V6",0.932330125130348,0.0786444170963065,0.214168042828006
"V7",0.944664341949664,0.0875573496263581,0.243098605929057
"V8",0.790986160222925,0.144997945444697,0.476069396880682
"V9",0.881707358037507,0.164732231796078,0.209501467124078
"V10",0.437530018954606,0.34705830738225,0.728953554959648
"V11",0.76223897228173,0.212805027198231,0.397813200870662
"V12",0.345215952472917,0.397992861271723,0.742552864054441
"V13",0.583004570764158,0.136050155886179,0.703100456087388
"V14",0.226049716498777,0.798153812506535,0.319350461640635
"V15",0.0825002648505991,0.943669455477876,0.0072958629026539
"V16",0.037243869926708,0.864753708643311,0.305489760970985
