"","RC2","RC1","RC3"
"V5",0.366052336688289,0.307868833471802,0.78065151893562
"V6",0.235905285764194,0.36987307142046,0.814447535505172
"V7",0.406510675548429,0.340129907574365,0.737009494084736
"V8",0.00225315022133001,0.818367239873539,0.363699967385704
"V9",0.460672315285916,0.49615417294854,0.494159497374524
"V10",0.365939903141684,0.805461627522609,0.195911272088739
"V11",0.234219116414826,0.650588725146661,0.495767140934528
"V12",0.684659771525614,0.478074740112558,0.273268399299302
"V13",0.286498390423238,0.786979670276514,0.275307164551505
"V14",0.752380116334778,0.342703628461126,0.2835995160849
"V15",0.85954659701616,0.114472090514684,0.280533823809558
"V16",0.860988250211204,0.110171574108709,0.206142863854958
