"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"2",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"3",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"4",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"5",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3
"6",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"7",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"8",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"9",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"10",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"11",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"12",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"13",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"14",0,2,-1,1,1,1,-1,-3,2,-3,1,1,-1,0,2,0
"15",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"16",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"17",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"19",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"20",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,0,3,3
"21",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
"22",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"23",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,0,-3
"24",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,0,1,1
"25",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"26",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-1
"27",-3,-3,-3,-3,-2,-3,-2,-2,-2,-3,-3,-3,-2,-3,-3,-2
"28",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3
"29",-1,-2,-3,-3,-3,-3,-2,1,-3,-2,-1,-2,-2,-1,0,-3
"30",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,3
"31",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,0
"32",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,1
"33",2,-1,-1,-1,-2,-1,-1,0,2,2,-1,2,1,-1,2,-1
"34",-3,-3,-3,-3,-3,-3,-3,-2,0,0,-2,1,0,1,2,1
"35",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"36",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,3
"37",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"38",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"39",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-2,-1,-1
"40",-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,-1,-2,3,3,3
"41",-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-1,0,-3,2,1,-1
"42",-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,0,3,3
"43",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,-3
"44",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,3,3
"45",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,0,1,3,1
"46",-3,-3,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,3,-3
"47",-3,-3,-3,-3,-3,-3,-3,-3,-2,0,-2,0,-3,2,3,0
"48",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,0,-3,1,3,3
"49",-2,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,3
"50",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-1,-1
"51",2,1,1,0,1,1,1,1,0,1,0,-1,1,0,1,0
"52",-3,-3,-3,-3,-3,-3,-3,-3,-3,0,0,3,0,3,3,3
"53",-3,-3,-3,-3,-3,-3,-3,-3,-3,2,0,2,-1,2,2,2
"54",-3,-3,-3,-3,-3,-3,-3,-3,3,2,-1,3,-3,3,3,3
"55",2,2,1,2,2,1,2,2,2,2,2,1,1,1,2,2
"56",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3
"57",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,-3
"58",-3,-3,-3,-3,-2,-3,-3,-3,-3,0,-3,-3,-3,1,-1,0
"59",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1
"60",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-1,-1,-3
"61",-2,-3,-3,-3,-3,-3,-3,-2,-3,0,-3,1,1,0,2,3
"62",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1
"63",-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,1,-3,3,3,3
"64",2,1,-1,1,1,-1,1,0,1,3,0,2,2,2,3,3
