"","comparison","n","mc"
"1","dweckRC3_malleRC3",6,"V6"
"2","dweckRC3_malleRC3",6,"V8"
"3","dweckRC3_malleRC3",6,"V23"
"4","dweckRC3_malleRC3",6,"V10"
"5","dweckRC3_malleRC3",6,"V7"
"6","dweckRC3_malleRC3",6,"V9"
"7","dweckRC1_malleRC2",5,"V18"
"8","dweckRC1_malleRC2",5,"V17"
"9","dweckRC1_malleRC2",5,"V16"
"10","dweckRC1_malleRC2",5,"V20"
"11","dweckRC1_malleRC2",5,"V19"
"12","dweckRC1_malleRC3",3,"V3"
"13","dweckRC1_malleRC3",3,"V5"
"14","dweckRC1_malleRC3",3,"V1"
"15","dweckRC2_malleRC1",3,"V34"
"16","dweckRC2_malleRC1",3,"V37"
"17","dweckRC2_malleRC1",3,"V40"
"18","dweckRC1_malleRC1",2,"V39"
"19","dweckRC1_malleRC1",2,"V36"
"20","dweckRC2_malleRC2",2,"V15"
"21","dweckRC2_malleRC2",2,"V13"
"22","dweckRC3_malleRC2",1,"V14"
