"","RC1","RC2","RC3"
"V1",0.389051765943626,0.37920000792828,0.625304534603959
"V2",0.415186362380803,0.720070180618661,0.135602963538042
"V3",0.403110870057605,0.454482822498689,0.575973838815054
"V4",0.34208992525631,0.756436283861519,0.0815131442975172
"V5",0.174794244022832,0.559815327597701,0.587248006408494
"V6",0.164540414385862,0.559633369237915,0.582119967294577
"V7",0.186859806299665,0.724412702701105,0.341850563301805
"V8",-0.0157889092938716,0.848668467758773,0.323009222242423
"V9",0.00301660082021503,0.88929810034667,0.0556613264808766
"V10",-0.305483756490208,0.190411975354732,0.822265552138625
"V11",0.796437589169871,0.206011214567577,0.400149173575453
"V12",0.870693390142212,0.20513442318694,0.315563344723469
"V13",0.469664515032701,0.405951162818893,0.631110939075295
"V14",0.614532730481633,0.202291843435441,0.636907940758304
"V15",0.752036553330984,0.189131302871515,0.38979029476984
"V16",0.922990024622377,0.133848517061593,0.258442280751706
"V17",0.828842025726325,0.2002801398607,0.345133564329858
"V18",0.686397650638368,0.235664395135586,0.499853787851141
"V19",0.935114095190645,0.147999267345282,0.205893157226012
"V20",0.888387755718485,0.185963169788962,0.304523474089066
"V21",0.810909310411057,0.222924676698795,0.411938275671725
"V22",0.835199263157239,0.242530277527922,0.150897758982001
"V23",0.409657779333955,0.561322225677134,0.302468647486033
"V24",0.870957515325014,0.207525845528046,0.295926661533819
"V25",0.880597594435684,0.220571199230508,0.219585418177185
"V26",0.886414994685381,0.200628231897798,0.129011173925455
"V27",0.872134759053671,0.261256727706642,0.246339848454502
"V28",0.935624872620167,0.156185618446637,0.147959915088573
"V29",0.944289698641478,0.162313659184776,0.162252429254344
"V30",0.941441185800868,0.172601693679256,0.180352879926235
"V31",0.950780288633589,0.165290722696637,0.0313897872468696
"V32",0.964091083163916,0.175177463394852,0.0373089034856048
"V33",0.948851711373167,0.197426110390235,0.0839194846821462
"V34",0.973740695857024,0.162066911276573,0.0503539208745508
"V35",0.935607823582021,0.192041672205837,0.145146281621916
"V36",0.967095111097987,0.185829671998643,0.0694764079845979
"V37",0.961322364889477,0.170390949764108,0.00392704052745886
"V38",0.961289602813483,0.170348700018183,0.054489362088465
"V39",0.952627352921044,0.15646863338233,0.0938985335117336
"V40",0.96471765118201,0.137078646346751,0.0511678024157194
