"","RC1","RC3","RC2"
"V1",0.138125486594235,0.107187901537222,-0.327824438046209
"V2",0.1180320350003,0.0763753038172861,-0.342333914270421
"V3",0.158854803218175,-0.139026356145099,-0.241266317329568
"V4",0.207583414716909,-0.285608871009417,-0.151655752842878
"V5",0.187391900878807,-0.118321496769659,-0.19232103735908
"V6",0.194605417995162,-0.236648792557054,-0.0465817952412861
"V7",0.210116562020567,-0.125556902920971,-0.217488786740047
"V8",0.491183573339644,-0.302658837938127,0.163897352456682
"V9",0.333580857243684,-0.204634459223537,-0.253102345205394
"V10",0.22418917634519,-0.0411689222237779,-0.0130801336012125
"V11",0.335230599641731,-0.257414641901414,0.0122160487213672
"V12",-0.00977600765534048,0.240880448799158,-0.236524838099494
"V13",0.259838290272946,-0.0141203230434548,-0.131635635417565
"V14",-0.0799932140136267,-0.0751004716377321,0.07364247474041
"V15",-0.315135743471213,-0.128247226971874,0.129902800390104
"V16",-0.307095373649627,0.180884954575506,0.0387491609981473
